"Visits","Transactions","OS","Gender","Revenue"
7,0,"Android","Male",0
20,1,"iOS",NA,576.866774966349
22,1,"iOS","Female",850
24,2,"iOS","Female",1050
1,0,"Android","Male",0
13,1,"Android","Male",460
23,2,"iOS","Male",1850
14,1,"Android","Male",480
11,1,"Android","Male",110
24,2,"iOS","Male",1950
17,1,"Android","Male",225
14,1,"Android",NA,344.651613803221
2,0,"Android","Male",0
8,1,"Android",NA,344.651613803221
24,2,"iOS","Male",1850
23,2,"iOS","Female",1300
18,2,"Android",NA,990.306213040332
16,NA,"Android","Male",405.244133595093
25,2,"iOS","Male",1950
17,1,"Android","Male",550
18,2,"iOS","Female",1500
14,1,"Android","Male",330
7,0,"Android","Male",0
3,NA,"Android","Male",121.774494043513
25,2,"iOS",NA,1222.52137420346
20,1,"iOS",NA,576.866774966349
0,0,"Android",NA,0
19,NA,"iOS","Male",676.730799216931
8,1,"Android","Male",460
6,NA,"Android","Male",187.190564709263
10,1,"Android","Male",360
9,1,"Android",NA,344.651613803221
3,1,"Android","Male",320
3,1,"Android","Male",340
6,1,"Android","Male",210
22,1,"iOS","Male",450
1,0,"Android",NA,0
11,1,"Android","Male",380
3,1,"Android","Male",420
14,1,"Android","Male",110
5,1,"Android",NA,344.651613803221
3,1,"Android","Male",410
19,1,"iOS","Female",925
9,1,"Android","Male",180
17,1,"Android","Female",725
2,0,"Android","Male",0
9,1,"Android","Male",190
7,0,"Android","Male",0
21,1,"iOS","Female",1000
11,NA,"Android","Male",296.217349152178
21,1,"iOS","Female",725
21,1,"iOS","Female",775
11,1,"Android","Male",260
19,1,"iOS","Male",675
16,1,"Android",NA,344.651613803221
0,0,"Android","Male",0
12,1,"Android","Male",150
5,1,"Android","Male",190
9,1,"Android","Male",290
15,1,"Android","Male",200
2,0,"Android",NA,0
6,1,"Android","Male",280
17,1,"Android","Male",300
10,1,"Android","Male",420
20,1,"iOS","Female",975
2,0,"Android","Male",0
11,1,"Android","Male",320
25,2,"iOS","Male",1850
23,2,"iOS","Male",1700
4,1,"Android","Male",180
8,NA,"Android","Male",230.801278486429
17,1,"Android","Male",575
8,1,"Android","Male",460
4,1,"Android",NA,344.651613803221
20,1,"iOS","Female",825
2,0,"Android","Male",0
12,1,"Android",NA,344.651613803221
13,NA,"Android","Male",339.828062929344
15,1,"Android","Male",210
8,1,"Android","Male",430
12,NA,"Android","Male",318.022706040761
24,2,"iOS",NA,1222.52137420346
12,1,"Android",NA,344.651613803221
23,2,"iOS","Female",750
15,1,"Android",NA,344.651613803221
3,1,"Android","Male",280
1,0,"Android",NA,0
24,2,"iOS",NA,1222.52137420346
18,2,"iOS",NA,1222.52137420346
3,NA,"Android","Male",121.774494043513
24,2,"iOS","Female",1000
15,1,"Android","Male",290
10,1,"Android",NA,344.651613803221
16,1,"Android",NA,344.651613803221
8,NA,"Android","Male",230.801278486429
5,1,"Android","Male",140
9,1,"Android","Male",190
4,NA,"Android","Male",143.579850932096
3,1,"Android",NA,344.651613803221
17,1,"Android",NA,344.651613803221
16,1,"Android","Male",140
17,1,"Android","Male",575
19,2,"iOS",NA,1222.52137420346
13,1,"Android","Male",270
17,1,"Android","Female",900
21,NA,"iOS","Male",720.341512994097
25,2,"iOS",NA,1222.52137420346
11,1,"Android","Male",500
8,1,"Android",NA,344.651613803221
4,1,"Android","Male",150
6,1,"Android","Male",360
6,1,"Android","Male",240
1,0,"Android","Male",0
6,1,"Android","Male",230
19,2,"iOS","Female",1300
22,1,"iOS","Male",350
12,1,"Android",NA,344.651613803221
6,1,"Android","Male",130
2,0,"Android","Male",0
10,1,"Android","Male",300
14,1,"Android",NA,344.651613803221
5,1,"Android","Male",230
11,1,"Android","Male",300
5,1,"Android","Male",490
9,1,"Android","Male",460
16,1,"Android","Male",470
9,NA,"Android","Male",252.606635375012
9,NA,"Android","Male",252.606635375012
13,1,"Android",NA,344.651613803221
19,2,"iOS","Male",600
10,1,"Android",NA,344.651613803221
6,0,"Android","Male",0
16,1,"Android","Male",480
4,1,"Android","Male",390
22,1,"iOS",NA,576.866774966349
19,2,"iOS","Male",1850
16,1,"Android","Male",150
9,1,"Android","Male",320
13,1,"Android","Male",490
22,1,"iOS","Female",725
21,1,"iOS","Male",275
8,1,"Android","Male",260
18,2,"iOS","Female",1000
6,0,"Android",NA,0
15,1,"Android","Male",230
12,1,"Android","Male",220
6,0,"Android","Male",0
14,1,"Android",NA,344.651613803221
23,2,"iOS","Female",850
7,0,"Android","Male",0
8,1,"Android","Male",160
16,1,"Android",NA,344.651613803221
24,2,"iOS","Male",1700
12,1,"Android","Male",150
10,1,"Android","Male",380
17,1,"Android","Female",850
3,1,"Android","Male",350
6,1,"Android",NA,344.651613803221
25,2,"iOS","Male",1700
15,1,"Android",NA,344.651613803221
13,1,"Android",NA,344.651613803221
22,1,"iOS","Male",550
9,1,"Android","Male",430
4,1,"Android","Male",280
12,1,"Android","Male",220
6,0,"Android","Male",0
1,0,"Android","Male",0
18,2,"iOS",NA,1222.52137420346
9,1,"Android","Male",440
21,1,"iOS","Female",775
23,2,"iOS",NA,1222.52137420346
7,0,"Android","Male",0
24,2,"iOS","Female",1150
18,2,"iOS",NA,1222.52137420346
17,1,"Android","Male",500
1,0,"Android","Male",0
10,NA,"Android","Male",274.411992263595
23,2,"iOS","Female",950
16,1,"Android","Male",300
11,NA,"Android","Male",296.217349152178
14,1,"Android","Male",200
1,0,"Android","Male",0
6,0,"Android","Male",0
10,1,"Android","Male",330
21,1,"iOS","Male",275
3,1,"Android","Male",280
20,1,"iOS","Male",400
14,NA,"Android","Male",361.633419817927
17,1,"Android","Female",750
4,1,"Android",NA,344.651613803221
16,1,"Android",NA,344.651613803221
18,2,"iOS","Female",1050
10,NA,"Android","Male",274.411992263595
25,2,"iOS","Male",1700
18,2,"iOS","Female",1100
5,1,"Android","Male",310
15,1,"Android","Male",400
6,0,"Android","Male",0
13,1,"Android",NA,344.651613803221
4,1,"Android","Male",200
10,1,"Android","Male",350
12,1,"Android","Male",170
24,2,"iOS","Male",1850
17,1,"Android",NA,344.651613803221
24,2,"iOS","Female",1450
13,1,"Android",NA,344.651613803221
14,NA,"Android","Male",361.633419817927
9,1,"Android",NA,344.651613803221
0,0,"Android","Male",0
13,1,"Android","Male",310
22,1,"iOS",NA,576.866774966349
0,0,"Android","Male",0
1,0,"Android","Male",0
20,1,"iOS","Female",725
19,2,"iOS",NA,1222.52137420346
25,2,"iOS",NA,1222.52137420346
12,1,"Android","Male",220
16,1,"Android",NA,344.651613803221
19,1,"iOS",NA,576.866774966349
3,1,"Android","Male",340
10,1,"Android","Male",290
5,1,"Android",NA,344.651613803221
1,0,"Android",NA,0
5,1,"Android",NA,344.651613803221
1,0,"Android","Male",0
17,NA,"Android","Male",427.049490483677
7,0,"Android","Male",0
2,0,"Android","Male",0
1,0,"Android","Male",0
22,1,"iOS","Male",575
19,1,"iOS","Male",600
21,1,"iOS","Male",675
25,2,"iOS","Female",900
2,0,"Android","Male",0
20,1,"iOS","Male",600
20,1,"iOS","Female",975
20,1,"iOS","Male",575
16,1,"Android","Male",160
12,NA,"Android","Male",318.022706040761
11,1,"Android",NA,344.651613803221
12,1,"Android",NA,344.651613803221
10,NA,"Android","Male",274.411992263595
12,1,"Android","Male",460
18,2,"iOS",NA,1222.52137420346
1,0,"Android","Male",0
9,NA,"Android","Male",252.606635375012
20,1,"iOS","Male",700
21,1,"iOS",NA,576.866774966349
6,1,"Android","Male",160
9,1,"Android",NA,344.651613803221
22,1,"iOS","Male",300
7,0,"Android","Male",0
3,NA,"Android","Male",121.774494043513
18,2,"iOS","Female",850
25,2,"iOS","Male",500
0,0,"Android","Male",0
8,1,"Android",NA,344.651613803221
19,2,"iOS","Female",1550
21,1,"iOS",NA,576.866774966349
8,1,"Android","Male",430
12,1,"Android","Male",470
18,2,"Android","Female",1300
16,1,"Android","Male",490
10,1,"Android","Male",390
13,1,"Android",NA,344.651613803221
5,1,"Android","Male",260
12,1,"Android",NA,344.651613803221
9,1,"Android","Male",320
10,1,"Android","Male",380
16,1,"Android","Male",350
